Chr	cnvStart	cnvEnd	CpG	Gene	Distance	rValue	-log(NomimalPvalue)	-log(PermutationPvalueP100)	-log(PermutationPvalueP10)	Source	NominalPvalue
7	81566664	81567000	cg24169822	HOXA4	54430034	-0.544	4.5866	4.4345	5.3134	1000GPgenotype	0.000025908534790
2	140595894	140595987	cg06983551	BUB1	29443597	0.563	4.9500	4.5062	5.6924	1000GPgenotype	0.000011220655366
15	22242412	22245430	cg05924191	FLJ20582	10823341	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
7	148461681	148461744	cg06943865	PEG10	54329994	0.540	4.5268	4.4245	5.3883	1000GPgenotype	0.000029732383914
15	22258712	22261530	cg05924191	FLJ20582	10807141	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
2	181634073	181634394	cg04072323	SKIP	47120490	0.568	5.0382	4.4292	5.2899	1000GPgenotype	0.000009158692578
10	11985438	11985776	cg24334983	ANXA11	69969541	-0.578	5.2372	4.2892	5.3030	1000GPgenotype	0.000005791598535
12	76432788	76433110	cg19402885	PTPRO	61066020	0.548	4.6600	4.3451	5.4180	1000GPgenotype	0.000021878799542
8	25028350	25046860	cg15995002	RAD54B	70518827	-0.542	4.5526	4.3333	5.3552	1000GPgenotype	0.000028015544486
15	22255312	22257230	cg05924191	FLJ20582	10810991	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
17	36681367	36685525	cg00214346	PRKAR1A	27336776	-0.536	4.4460	4.1237	5.0832	1000GPgenotype	0.000035813314560
17	36681367	36685525	cg19383689	WSB1	14038112	-0.522	4.2083	4.1079	5.2337	1000GPgenotype	0.000061903185695
3	193605463	193606156	cg15900980	GPX1	144235398	0.545	4.6110	4.4633	5.4625	1000GPgenotype	0.000024488984321
19	12467942	12472271	cg00401678	EMR3	2178221	0.554	4.7704	3.9608	4.8593	1000GPgenotype	0.000016968641255
19	12467942	12472271	cg11677722	PAF1	32103775	0.583	5.3371	4.0105	5.2064	1000GPgenotype	0.000004601975588
17	62361003	62361318	cg18503387	MRPS23	9079198	0.524	4.2496	4.0700	4.9083	1000GPgenotype	0.000056280831335
14	75968700	75968926	cg14611174	SIX6	15922934	-0.550	4.7089	4.0744	5.2659	1000GPgenotype	0.000019546245407
6	79078312	79079230	cg16218387	FAM8A1	61369957	-0.585	5.3689	4.5323	5.4658	1000GPgenotype	0.000004276982585
15	99202548	99202769	cg25829226	PLEKHQ1	36281495	-0.529	4.3371	3.9402	5.3118	1000GPgenotype	0.000046017880176
17	50288737	50288968	cg12844497	AURKB	42234268	0.524	4.2427	4.0831	5.3239	1000GPgenotype	0.000057180881315
3	108520640	108523022	cg05570980	C3orf52	4766089	-0.543	4.5830	4.5120	5.6373	1000GPgenotype	0.000026118957231
5	23938779	23940991	cg26413355	UNQ9217	55879767	-0.541	4.5470	4.5004	5.4532	1000GPgenotype	0.000028381935272
11	130001608	130001852	cg11781389	LOC89944	3705424	0.599	5.6562	4.3757	5.6700	1000GPgenotype	0.000002206932302
2	215291705	215292021	cg02358761	STK17B	18547421	0.559	4.8593	4.5256	5.5037	1000GPgenotype	0.000013827062584
6	31384612	31386630	cg00893987	RPL7L1	11569831	0.569	5.0522	4.4351	5.3963	1000GPgenotype	0.000008867128792
6	31384612	31386630	cg02599464	HIST1H4I	4170213	0.569	5.0522	4.5392	5.5397	1000GPgenotype	0.000008867128792
2	115344575	115345313	cg13297249	FLJ38379	127249777	-0.549	4.6826	4.5219	5.5616	1000GPgenotype	0.000020769019287
11	42112726	42113054	cg23617121	OSBPL5	39035101	0.530	4.3500	4.3361	5.3175	1000GPgenotype	0.000044665386831
19	56828967	56841025	cg27611665	FBXL12	47044378	0.561	4.9067	3.9951	4.8484	1000GPgenotype	0.000012395760897
13	37955316	37958201	cg03623878	MCF2L	74746769	0.526	4.2854	4.1279	5.1645	1000GPgenotype	0.000051827314410
1	56173871	56174191	cg16343696	KPNA6	23827225	-0.553	4.7612	4.5062	5.3029	1000GPgenotype	0.000017330863738
17	32217537	32217855	cg22325646	RND2	6212787	0.535	4.4408	4.0582	5.1234	1000GPgenotype	0.000036244005351
17	32217537	32217855	cg26129916	GGA3	38551695	0.528	4.3208	4.0540	5.0851	1000GPgenotype	0.000047770599891
17	15730283	15734513	cg10944783	TBPIP	22251179	-0.552	4.7404	4.0955	5.2709	1000GPgenotype	0.000018179478730
11	5756712	5759730	cg07696033	ALX4	38524470	-0.532	4.3856	4.3177	5.4525	1000GPgenotype	0.000041151062071
2	91190348	91190412	cg03552103	SEPT10	18539075	-0.581	5.2887	4.4752	5.5806	1000GPgenotype	0.000005143719256
4	176357119	176357507	cg23595927	MYL5	175695384	0.553	4.7526	4.5699	5.8548	1000GPgenotype	0.000017677328114
3	156893652	156893976	cg02332525	GRM7	150015769	0.545	4.6186	4.4441	5.4558	1000GPgenotype	0.000024065060240
1	225548888	225549205	cg04668164	SMAP1L	184936813	0.559	4.8712	4.5188	5.5981	1000GPgenotype	0.000013450889525
11	85981879	85984206	cg03750407	RAD9A	19066933	-0.533	4.3966	4.3005	5.4365	1000GPgenotype	0.000040120340003
15	23482491	23483470	cg12623088	MGC4562	40890108	-0.536	4.4592	3.9470	4.9757	1000GPgenotype	0.000034739852117
9	108063938	108064248	cg26805528	CRAT	22849244	-0.549	4.6897	4.2524	5.1657	1000GPgenotype	0.000020431964475
8	25032812	25034130	cg15995002	RAD54B	70522961	-0.542	4.5526	4.3333	5.3552	1000GPgenotype	0.000028015544486
8	25041114	25042787	cg15995002	RAD54B	70514482	-0.542	4.5526	4.3333	5.3552	1000GPgenotype	0.000028015544486
4	61710907	61711189	cg02553486	CORIN	14176897	0.559	4.8751	4.6106	5.5883	1000GPgenotype	0.000013331248637
4	147139029	147147190	cg13743031	NEIL3	31325051	-0.546	4.6216	4.6180	5.7151	1000GPgenotype	0.000023900831533
10	66702393	66702807	cg03285457	LBX1	36276486	0.556	4.8198	4.1870	5.1561	1000GPgenotype	0.000015143939015
19	41532592	41538912	cg15392792	DNM2	30845826	-0.517	4.1321	3.9559	4.9068	1000GPgenotype	0.000073776646832
19	22899898	22903253	cg20897667	PEG3	39141934	-0.510	4.0213	3.9609	5.1166	1000GPgenotype	0.000095203129992
19	59248112	59250930	cg24836583	HOMER3	40336839	0.553	4.7501	3.9979	5.1417	1000GPgenotype	0.000017779139023
8	25029502	25031800	cg15995002	RAD54B	70525781	-0.542	4.5526	4.3333	5.3552	1000GPgenotype	0.000028015544486
11	5741412	5745230	cg07696033	ALX4	38539370	-0.532	4.3856	4.3177	5.4525	1000GPgenotype	0.000041151062071
10	10748550	10748869	cg11443787	MLLT10	11114756	-0.525	4.2684	4.2028	5.2345	1000GPgenotype	0.000053905595920
10	75043831	75051240	cg16786703	ADAM8	59892748	-0.542	4.5643	4.1846	5.4098	1000GPgenotype	0.000027273050325
1	101161140	101161459	cg26168975	C1orf80	119792076	-0.540	4.5210	4.5004	5.4711	1000GPgenotype	0.000030128171192
12	29735649	29737702	cg00113951	CABP1	89826518	0.553	4.7612	4.3696	5.5257	1000GPgenotype	0.000017330863738
10	135090812	135092535	cg20441175	DNAJC9	60414783	0.522	4.2096	4.1619	5.1607	1000GPgenotype	0.000061714096327
10	135090812	135092535	cg08413366	PPP3CB	60166221	0.590	5.4718	4.1769	5.1190	1000GPgenotype	0.000003374546904
7	50606059	50606149	cg17628717	HECW1	7288188	-0.589	5.4529	4.4081	5.3413	1000GPgenotype	0.000003524117869
17	15730467	15731525	cg10944783	TBPIP	22252581	-0.528	4.3168	4.0955	5.2709	1000GPgenotype	0.000048218250507
22	41428595	41428962	cg00199549	MCM5	7302622	0.538	4.4898	3.8773	4.7841	1000GPgenotype	0.000032373096448
17	68881570	68882400	cg00032227	NAT9	1402115	0.573	5.1273	4.1039	5.2803	1000GPgenotype	0.000007459070167
8	115710052	115712400	cg23526055	TCEB1	40664106	0.539	4.5039	4.2585	5.5558	1000GPgenotype	0.000031340784061
3	62585658	62587088	cg20449692	CLDN11	109033402	-0.558	4.8531	4.5369	5.5124	1000GPgenotype	0.000014025907551
4	186120545	186120652	cg26454299	PPP3CA	83633210	-0.599	5.6703	4.6307	5.6962	1000GPgenotype	0.000002136336575
9	140095736	140101839	cg20188282	GTF3C5	5202959	-0.541	4.5387	4.2806	5.2857	1000GPgenotype	0.000028925006261
2	162040514	162042287	cg06645778	HSPC159	97507543	-0.558	4.8531	4.5564	5.7989	1000GPgenotype	0.000014025853314
15	47332156	47335146	cg20484306	MAP2K1	17132834	-0.517	4.1288	4.0163	4.8204	1000GPgenotype	0.000074340093583
17	19512503	19512912	cg21571937	FZD2	20478078	0.556	4.8031	4.1157	5.0676	1000GPgenotype	0.000015735920953
19	737551	737695	cg04947578	C19orf10	3883710	0.517	4.1284	3.9795	4.9635	1000GPgenotype	0.000074410844106
19	737551	737695	cg01533387	IFI30	17408173	0.516	4.1111	3.9677	4.8645	1000GPgenotype	0.000077434859891
19	737551	737695	cg05955224	CRI2	43984799	0.518	4.1530	4.0271	5.1363	1000GPgenotype	0.000070311980056
19	737551	737695	cg04878842	ERCC2	49827831	0.608	5.8629	3.9789	4.8850	1000GPgenotype	0.000001371055939
15	22223428	22274001	cg05924191	FLJ20582	10818548	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
17	23054555	23054626	cg23918047	ARHGDIA	54367961	0.544	4.5917	4.1358	5.1860	1000GPgenotype	0.000025600764630
3	46769428	46826524	cg18925884	IL17RD	10381353	-0.476	4.9168	4.0728	5.0691	ConradGenotype	0.000012112900337
3	46769428	46826524	cg00838150	MITF	23073585	-0.468	4.7484	3.9728	4.8684	ConradGenotype	0.000017849104303
11	55121253	55209637	cg11980188	CYP2R1	40295772	-0.431	4.0337	4.0199	5.1477	ConradGenotype	0.000092529213007
11	55121253	55209637	cg01800843	ATM	52433212	-0.454	4.4728	3.9504	4.9795	ConradGenotype	0.000033666771438
2	54366555	54371160	cg17741106	RDH14	35763742	-0.443	4.2529	3.9618	5.0068	ConradGenotype	0.000055865658504
6	31378345	31387412	cg05402265	ICK	21651588	0.436	4.1306	4.0476	5.1787	ConradGenotype	0.000074023533061
2	131938233	131941074	cg13901526	GYPC	4809155	0.479	4.9758	4.0405	5.0632	ConradGenotype	0.000010572037163
2	131938233	131941074	cg01594915	HNRPA3	45846155	0.446	4.3100	4.0531	5.0384	ConradGenotype	0.000048975153251
2	131938233	131941074	cg17043155	MRPL19	56212027	0.443	4.2529	4.0360	5.0573	ConradGenotype	0.000055865559251
2	131938233	131941074	cg26454191	PMS1	58417647	0.444	4.2876	4.0343	4.9390	ConradGenotype	0.000051565936326
2	131938233	131941074	cg04533291	WDR39	35645572	-0.437	4.1470	4.1257	5.2182	ConradGenotype	0.000071278404134
5	19410578	19412168	cg03992230	HNRPH1	159571765	-0.462	4.6295	3.9755	4.9112	ConradGenotype	0.000023466888577
6	69527894	69528390	cg20879959	HLA-A	39509417	-0.476	4.9243	4.0740	5.1413	ConradGenotype	0.000011904373647
1	177722257	177724955	cg07597871	RAP1A	65759564	0.473	4.8644	4.1447	5.1548	ConradGenotype	0.000013663436561
18	61917905	61920159	cg25602457	DCC	13796581	-0.433	4.0727	3.6301	4.5228	ConradGenotype	0.000084585575442
2	1079649	1080699	cg13057368	SSB	169283676	-0.438	4.1655	4.0809	5.1691	ConradGenotype	0.000068309608840
19	59424694	59435445	cg05562817	MGC33839	2866987	0.416	3.7672	3.7061	4.8866	ConradGenotype	0.000170925548179
19	59424694	59435445	cg03900104	PPP1R13L	8828909	0.431	4.0436	3.7125	4.6126	ConradGenotype	0.000090443874233
19	59424694	59435445	cg18145683	JAK3	41609708	-0.420	3.8379	3.6724	4.6709	ConradGenotype	0.000145228715428
6	23268749	23271735	cg03807235	PEX7	113915769	0.439	4.1785	4.0409	4.9682	ConradGenotype	0.000066291257730
15	82606345	82625912	cg17788682	ARNT2	4132385	0.437	4.1469	3.7069	4.8036	ConradGenotype	0.000071296080084
4	42457499	42464276	cg22609784	MSX1	37546713	0.435	4.1050	4.0906	5.2428	ConradGenotype	0.000078514723643
7	102135311	102152748	cg13360404	KIAA0265	27353565	-0.436	4.1366	3.9919	4.9769	ConradGenotype	0.000073019309107
3	178865818	178866301	cg17767184	DHFRL1	83601519	-0.431	4.0386	4.0289	5.0148	ConradGenotype	0.000091496005156
3	178865818	178866301	cg06429195	DAZL	162244501	0.479	4.9791	4.0314	5.2509	ConradGenotype	0.000010492054897
12	40984186	40986093	cg08519905	CD9	34805356	0.444	4.2898	3.9902	4.9777	ConradGenotype	0.000051315250765
11	49666184	49714391	cg05812599	CLPB	22133188	0.429	4.0103	3.9719	4.8317	ConradGenotype	0.000097645494149
4	9783252	9843664	cg10063179	MTNR1A	177900079	0.435	4.1198	4.0891	5.1000	ConradGenotype	0.000075884044916
16	32364447	32569534	cg21503093	EMP2	21885199	0.431	4.0481	3.7021	4.7296	ConradGenotype	0.000089505620245
14	42057216	42062664	cg25836301	MEG3	58302251	0.444	4.2759	3.6902	4.5331	ConradGenotype	0.000052979132765
