Chr	cnvStart	cnvEnd	CpG	Gene	Distance	rValue	-log(NomimalPvalue)	-log(PermutationPvalueP100)	-log(PermutationPvalueP10)	Source	NominalPvalue
17	17171100	17171975	cg02880176	LOC201164	121359	-0.415	2.6928	2.5026	3.5427	1000GPgenotype	0.002028849887238
2	37894416	37894471	cg24022829	EIF2AK2	656835	0.409	2.6321	2.5284	3.5684	1000GPgenotype	0.002333122206633
17	36772302	36774600	cg24505527	NKIRAS2	649275	-0.459	3.2663	2.9098	4.1268	1000GPgenotype	0.000541610979084
22	22699127	22705237	cg24330042	GSTT1	12090	-0.815	12.9700	2.9917	4.0141	1000GPgenotype	0.000000000000107
2	95914287	95914354	cg05443740	CSEN	587594	-0.469	3.4029	2.2403	3.1231	1000GPgenotype	0.000395461584801
4	165719953	165720068	cg00393585	FLJ31659	377690	-0.419	2.7505	2.7191	3.7087	1000GPgenotype	0.001776098226659
2	83964463	83964586	cg00396163	FLJ37357	632561	-0.424	2.8112	2.7282	3.7484	1000GPgenotype	0.001544537093699
14	20580351	20580407	cg20639263	NP	572821	0.426	2.8349	2.5072	3.5211	1000GPgenotype	0.001462597651011
4	6733295	6736762	cg09785172	WFS1	412449	0.396	2.4769	2.3650	3.3121	1000GPgenotype	0.003334957507124
16	5019300	5019350	cg21844038	FAM100A	413570	0.396	2.4815	2.3161	3.5868	1000GPgenotype	0.003299528986976
8	144776112	144780630	cg22892110	MAPK15	92130	0.401	2.5341	2.4779	3.3173	1000GPgenotype	0.002923206814227
9	92923184	92923505	cg02608019	SYK	319334	-0.451	3.1576	2.4783	3.2509	1000GPgenotype	0.000695737148938
3	185359510	185360097	cg00119079	LAMP3	995815	0.380	2.3058	1.9732	2.8500	1000GPgenotype	0.004945552003321
15	67401468	67402501	cg20015855	CORO2B	677345	-0.383	2.3277	2.1353	2.9267	1000GPgenotype	0.004702239894961
15	67401468	67402501	cg08342270	TLE3	774184	-0.383	2.3277	2.2884	3.2132	1000GPgenotype	0.004702239894961
2	176973888	176980286	cg18750960	HOXD4	251869	-0.442	3.0318	2.4347	3.1809	1000GPgenotype	0.000929407385134
10	51577967	51582025	cg14450605	NCOA4	337518	-0.539	4.5009	2.5189	3.3909	1000GPgenotype	0.000031557759661
2	44637092	44637412	cg03902905	SLC3A1	281438	-0.455	3.2020	2.5932	3.7702	1000GPgenotype	0.000628034896644
4	187330462	187336085	cg11595794	ANKRD37	778615	0.438	2.9852	2.8492	3.9636	1000GPgenotype	0.001034667706334
10	67911219	67911527	cg12236045	LRRTM3	444569	-0.404	2.5632	2.2083	2.9062	1000GPgenotype	0.002733912968049
2	54597716	54598093	cg16750914	KIAA1212	902472	-0.405	2.5815	2.4846	3.6095	1000GPgenotype	0.002621387846000
1	34877412	34879230	cg11835197	TFAP2E	933614	0.387	2.3768	2.3625	3.5413	1000GPgenotype	0.004199389920669
4	148140041	148140353	cg15810326	LOC90826	684528	-0.448	3.1084	2.1215	2.9825	1000GPgenotype	0.000779156953772
4	148140041	148140353	cg26484333	TMEM34	617941	-0.390	2.4098	2.0673	2.9945	1000GPgenotype	0.003892098129103
21	46434171	46435304	cg10296238	C21orf56	5266	0.550	4.7059	2.5410	3.5201	1000GPgenotype	0.000019681322241
13	94818226	94822462	cg17183991	HS6ST3	720767	0.385	2.3556	2.3467	3.2994	1000GPgenotype	0.004409596688541
5	77084102	77084437	cg23152667	TBCA	23471	0.376	2.2608	1.9790	3.1941	1000GPgenotype	0.005485378090842
2	233072791	233072983	cg19540408	MGC35154	908221	0.404	2.5665	2.5407	3.6342	1000GPgenotype	0.002713378491322
3	11757247	11759276	cg04632671	PPARG	546237	-0.427	2.8448	2.6260	3.4304	1000GPgenotype	0.001429398505234
1	34874009	34884563	cg11835197	TFAP2E	932649	0.387	2.3768	2.3625	3.5413	1000GPgenotype	0.004199389920669
1	151400331	151400587	cg09929564	ILF2	509441	0.397	2.4868	2.4533	3.5793	1000GPgenotype	0.003259840472563
17	61593973	61594030	cg02957086	AXIN2	606778	-0.393	2.4484	2.4347	3.4669	1000GPgenotype	0.003561457962489
19	13600101	13600227	cg17725461	RFX1	378139	-0.434	2.9376	2.7274	3.5500	1000GPgenotype	0.001154646192246
10	13298028	13298340	cg00766889	SEPHS1	132092	0.419	2.7469	2.5753	3.8748	1000GPgenotype	0.001790902160879
14	49070698	49070826	cg08625335	RPS29	52090	-0.448	3.1120	2.7158	3.8731	1000GPgenotype	0.000772716990843
10	125368932	125369004	cg02757432	GPR26	46997	0.430	2.8795	2.3829	3.0981	1000GPgenotype	0.001319649254234
5	135372493	135374199	cg17830308	NEUROG1	474139	-0.397	2.4893	2.2814	3.0589	1000GPgenotype	0.003241459894265
17	36675248	36685688	cg24505527	NKIRAS2	742258	-0.462	3.2969	2.9098	4.1268	1000GPgenotype	0.000504743514268
6	77154212	77158385	cg06062132	SENP6	787630	0.404	2.5686	2.3655	3.1429	1000GPgenotype	0.002699971944269
17	26683718	26684067	cg08635242	CPD	953709	-0.426	2.8374	2.7212	3.8029	1000GPgenotype	0.001454007218140
1	110028467	110029625	cg17901463	GSTM1	2904	-0.760	10.3907	2.7207	3.6561	1000GPgenotype	0.000000000040671
10	74847596	74847928	cg16108132	ANXA7	3984	-0.417	2.7185	2.5639	3.9387	1000GPgenotype	0.001912201739326
22	22681567	22698025	cg24330042	GSTT1	24476	-0.815	12.9700	2.9917	4.0141	1000GPgenotype	0.000000000000107
19	6938463	6938792	cg10670077	INSR	306646	-0.471	3.4264	2.7571	3.7352	1000GPgenotype	0.000374625172173
3	182444583	182444910	cg27437944	FXR1	331468	-0.439	2.9983	2.6390	3.5480	1000GPgenotype	0.001003964609912
19	20041433	20041748	cg07919162	SF4	749055	-0.463	3.3136	2.5660	3.4799	1000GPgenotype	0.000485691339395
6	77154213	77159361	cg06062132	SENP6	788119	0.404	2.5686	2.3655	3.1429	1000GPgenotype	0.002699971944269
22	48264438	48264617	cg18205517	PP2447	701823	0.405	2.5815	2.5576	3.4124	1000GPgenotype	0.002621387846000
18	57434843	57435078	cg07980518	RNF152	277229	0.445	3.0751	2.2317	2.9267	1000GPgenotype	0.000841179705338
1	70921387	70921635	cg15201877	PTGER3	363787	-0.442	3.0370	2.5622	3.5635	1000GPgenotype	0.000918242638506
5	95992292	95993117	cg24274600	RHOBTB3	899727	0.400	2.5230	2.2494	3.4303	1000GPgenotype	0.002999122104176
9	35970788	35971992	cg04065065	PIGO	885144	-0.404	2.5735	2.3380	3.2612	1000GPgenotype	0.002670072793874
7	98869581	98869637	cg12799895	NPTX2	784837	-0.427	2.8406	2.3637	3.3989	1000GPgenotype	0.001443496164025
17	8187337	8188693	cg01249910	SAT2	716356	0.430	2.8770	2.6693	3.6044	1000GPgenotype	0.001327478425667
1	146442912	146462585	cg24797967	FLJ39739	54413	0.441	3.0205	2.5769	3.6046	1000GPgenotype	0.000953929094551
9	140099612	140101330	cg23897067	NDOR1	880739	-0.417	2.7212	2.6819	3.6965	1000GPgenotype	0.001900296958932
4	186392535	186392845	cg27583030	SLC25A4	91204	-0.506	3.9606	2.7804	3.7073	1000GPgenotype	0.000109487660274
5	70889238	70889304	cg18359921	MCCC2	29633	-0.387	2.3820	2.3281	3.4830	1000GPgenotype	0.004149747010486
15	36054877	36055613	cg06952236	RASGRP1	589091	0.404	2.5712	2.5138	3.5413	1000GPgenotype	0.002684062191292
15	90475578	90478074	cg07766315	LOC400451	522989	0.405	2.5787	2.3954	3.1619	1000GPgenotype	0.002638248158185
17	13472409	13473418	cg13706352	COX10	440482	-0.387	2.3745	2.3006	3.4140	1000GPgenotype	0.004222285049495
6	30315788	30316206	cg24000189	FLOT1	503456	0.470	3.4180	3.1157	4.2578	1000GPgenotype	0.000381980139314
6	30315788	30316206	cg24703717	HLA-F	516392	0.492	3.7445	2.9732	3.8504	1000GPgenotype	0.000180109657785
19	11155805	11157520	cg15334028	DNM2	466736	-0.372	2.2110	1.9889	2.9267	1000GPgenotype	0.006152164397870
10	92805364	92805684	cg17001035	PCGF5	164987	0.418	2.7310	2.6505	3.7217	1000GPgenotype	0.001857795820443
1	110037664	110044037	cg17901463	GSTM1	8900	-0.818	13.1029	2.7207	3.6561	1000GPgenotype	0.000000000000079
10	88972728	89104990	cg04738091	PTEN	573821	0.363	2.1215	2.0673	2.9426	1000GPgenotype	0.007559813143246
12	109101014	109102205	cg21950493	ATPBD1C	289513	0.481	3.5674	1.9595	2.9059	1000GPgenotype	0.000270749306960
22	35477032	35477737	cg13951472	CDC42EP1	809447	0.419	2.7498	2.6353	3.8265	1000GPgenotype	0.001778953845320
17	5536429	5538222	cg08341874	VMO1	901594	-0.429	2.8669	2.5327	3.6731	1000GPgenotype	0.001358513829964
17	76309191	76312945	cg26717786	FLJ44861	443512	-0.435	2.9461	2.7640	3.7565	1000GPgenotype	0.001132065494471
12	93768156	93768578	cg19824362	NR2C1	222823	-0.419	2.7437	2.6042	3.8343	1000GPgenotype	0.001804251467980
1	27160255	27160649	cg12112929	GPR3	431190	-0.436	2.9606	2.5321	3.5224	1000GPgenotype	0.001094854496408
20	54450469	54452021	cg25993718	CBLN4	438169	0.412	2.6586	2.5731	3.6182	1000GPgenotype	0.002194708595015
16	87425157	87425732	cg16444968	CPNE7	744266	-0.414	2.6855	2.5394	3.6022	1000GPgenotype	0.002063151962097
10	91988516	91992007	cg20571908	MPHOSPH1	539025	0.419	2.7420	2.2969	3.2568	1000GPgenotype	0.001811494354334
15	49684994	49685332	cg08986416	DMXL2	16917	-0.538	4.4902	2.4942	3.5357	1000GPgenotype	0.000032345171731
2	152506803	152507435	cg08475827	RIF1	532316	0.449	3.1228	2.9231	3.9247	1000GPgenotype	0.000753764721907
18	69595188	69595522	cg03954150	FBXO15	370752	-0.417	2.7173	2.0027	2.8860	1000GPgenotype	0.001917216468232
7	39563899	39564163	cg08724636	RALA	65683	0.433	2.9213	2.6669	3.5138	1000GPgenotype	0.001198796972881
5	141288563	141288790	cg11064797	C5orf16	291637	-0.392	2.4347	2.2814	2.9798	1000GPgenotype	0.003674992075609
10	70668117	70668440	cg21948169	CXXC6	677303	-0.431	2.9000	2.7439	3.7706	1000GPgenotype	0.001258947808930
2	74364785	74365114	cg21954994	POLE4	674426	0.376	2.2596	2.2491	3.0503	1000GPgenotype	0.005499992872776
14	99493641	99493712	cg09873258	DLK1	769053	-0.423	2.8002	2.3121	3.3211	1000GPgenotype	0.001584070322660
14	99493641	99493712	cg16567044	MEG3	868515	0.394	2.4596	2.3166	3.2275	1000GPgenotype	0.003470624893104
2	53752337	53752534	cg16192916	PSME4	298927	0.469	3.3960	2.8117	3.7408	1000GPgenotype	0.000401767097158
16	66071307	66071624	cg02225847	FAM65A	49015	-0.487	3.6682	2.7139	3.6533	1000GPgenotype	0.000214679706881
14	35741860	35745144	cg11847459	MBIP	115916	-0.350	1.9936	1.9480	2.6497	1000GPgenotype	0.010148458248816
12	3535218	3535312	cg14759043	MGC4266	197296	0.419	2.7527	2.7406	3.6570	1000GPgenotype	0.001767403511623
10	128911030	128911109	cg13488201	ADAM12	844476	-0.410	2.6369	2.6274	3.3822	1000GPgenotype	0.002307282687881
1	40794202	40801171	cg22827640	HPCAL4	867956	-0.415	2.7021	2.4895	3.5424	1000GPgenotype	0.001985704627409
17	41806512	41819630	cg02301815	KIAA1267	207812	-0.311	1.6279	1.5722	1.8020	1000GPgenotype	0.023554960616851
4	2988022	2988189	cg16474684	RNF4	547548	-0.440	3.0083	2.5690	3.5135	1000GPgenotype	0.000981121627150
18	73395986	73397147	cg12555907	MBP	423341	-0.474	3.4793	2.4738	3.4422	1000GPgenotype	0.000331670939473
18	73395986	73397147	cg15059932	ZNF236	733030	-0.397	2.4925	2.4650	3.2644	1000GPgenotype	0.003217498355817
9	33203071	33203929	cg21511069	UBAP2	835509	0.454	3.1947	2.3352	3.4837	1000GPgenotype	0.000638738672965
8	144771628	144785835	cg22892110	MAPK15	91770	0.401	2.5341	2.4779	3.3173	1000GPgenotype	0.002923206814227
19	38264621	38264884	cg01580888	RHPN2	16537	0.435	2.9461	2.4391	3.2132	1000GPgenotype	0.001132065494471
2	219640023	219640306	cg14831838	CDK5R2	106869	0.396	2.4796	2.4089	3.5941	1000GPgenotype	0.003314050578908
2	219640023	219640306	cg21785260	C2orf24	109741	0.448	3.1131	2.4796	3.5437	1000GPgenotype	0.000770753341355
2	220754325	220754447	cg09197965	TUBA1	927637	-0.435	2.9446	2.5985	3.6717	1000GPgenotype	0.001136071223368
18	3308056	3308128	cg18110535	LPIN2	305091	0.459	3.2680	2.8416	3.8138	1000GPgenotype	0.000539552510114
1	64740868	64740965	cg09082287	DNAJC6	762132	0.491	3.7246	2.9919	4.1034	1000GPgenotype	0.000188558845804
10	23055568	23056760	cg06908778	SPAG6	381668	0.379	2.2860	2.1827	3.1179	1000GPgenotype	0.005175671817540
20	34034454	34034566	cg03424436	CEP250	527623	-0.404	2.5731	2.5311	3.4669	1000GPgenotype	0.002672233021469
2	192270434	192270768	cg09666654	MYO1B	451909	0.481	3.5814	2.5815	3.5087	1000GPgenotype	0.000262161670922
8	99534317	99534644	cg10039928	MATN2	583872	0.463	3.3204	2.5316	3.6957	1000GPgenotype	0.000478239571298
17	63739152	63739372	cg27043427	PSMD12	946210	0.468	3.3893	2.5490	3.4786	1000GPgenotype	0.000408007536816
4	55177177	55177497	cg11465971	GSH2	515647	0.424	2.8099	2.5407	3.3785	1000GPgenotype	0.001549103250696
3	9229174	9229267	cg24596576	FANCD2	813868	0.423	2.7972	2.6260	3.6451	1000GPgenotype	0.001595250995048
2	6215745	6226169	cg13051968	RNF144	754613	-0.404	2.5632	2.4909	3.2948	1000GPgenotype	0.002733912968049
12	49259984	49261783	cg16619240	LIMA1	297275	0.368	2.1729	2.1215	2.7905	1000GPgenotype	0.006715483758120
12	49259984	49261783	cg12787624	LIMA1	297275	0.412	2.6586	2.0981	2.8808	1000GPgenotype	0.002194708595015
10	18543082	18543595	cg05018361	NSUN6	437198	0.386	2.3621	2.3090	3.4281	1000GPgenotype	0.004343614016061
12	2933922	2934160	cg16405575	TSPAN9	122494	0.510	4.0189	2.6587	3.3754	1000GPgenotype	0.000095737733784
16	65293379	65296435	cg13813391	CMTM2	124196	0.532	4.3864	2.6727	3.6932	1000GPgenotype	0.000041075803874
16	65811167	65811482	cg13500388	CBFB	191818	-0.427	2.8470	2.5994	3.7496	1000GPgenotype	0.001422358526261
16	65811167	65811482	cg12441964	FLJ35894	418299	0.440	3.0127	2.6818	3.6115	1000GPgenotype	0.000971191914474
1	94060856	94064435	cg16833230	DNTTIP2	54227	-0.402	2.5407	2.2429	3.0550	1000GPgenotype	0.002879425340022
5	35226892	35227228	cg11154798	RAI14	534590	0.408	2.6141	2.4784	3.4536	1000GPgenotype	0.002431589968160
17	74572494	74574433	cg24844534	C1QTNF1	41414	-0.435	2.9436	2.4913	3.6347	1000GPgenotype	0.001138661745088
22	22726367	22727225	cg24330042	GSTT1	12524	-0.749	9.9570	2.9917	4.0141	1000GPgenotype	0.000000000110414
17	36675467	36681025	cg24505527	NKIRAS2	744480	-0.462	3.2969	2.9098	4.1268	1000GPgenotype	0.000504743514268
13	45804889	45805037	cg08608800	KIAA0853	280259	0.467	3.3675	2.5999	3.4039	1000GPgenotype	0.000429081211628
22	22676367	22680525	cg24330042	GSTT1	35826	-0.815	12.9700	2.9917	4.0141	1000GPgenotype	0.000000000000107
16	18740026	18745877	cg21024145	RPS15A	33651	-0.396	2.4764	2.4698	3.3136	1000GPgenotype	0.003338594859449
5	176427650	176428879	cg07035740	SNCB	438372	-0.443	3.0464	2.4524	3.4071	1000GPgenotype	0.000898626002156
14	73074412	73076930	cg00815605	ACOT2	30770	0.430	2.8866	2.5523	3.6909	1000GPgenotype	0.001298290040347
2	177995884	177996307	cg02961200	DKFZp451M2119	30291	-0.568	5.0475	2.6199	3.4120	1000GPgenotype	0.000008964135847
17	55934631	55936055	cg14623313	APPBP2	22728	-0.568	5.0294	2.5632	3.6404	1000GPgenotype	0.000009345068161
2	28253811	28253874	cg24189717	SNX17	806891	-0.424	2.8051	2.4408	3.4938	1000GPgenotype	0.001566339743543
7	2633455	2633799	cg24743283	GNA12	216708	0.410	2.6390	2.5679	3.5941	1000GPgenotype	0.002296266936219
19	56468220	56468531	cg05242523	KLK14	187897	0.474	3.4757	2.8608	3.8424	1000GPgenotype	0.000334403484927
7	29443443	29443752	cg11185569	CHN2	242799	-0.510	4.0199	2.5296	3.4327	1000GPgenotype	0.000095523647671
16	2949982	2950348	cg19703826	ZNF213	174702	0.386	2.3675	2.1215	3.1156	1000GPgenotype	0.004290662600123
3	187512304	187512639	cg00717862	DNAJB11	258561	-0.414	2.6878	2.5169	3.5484	1000GPgenotype	0.002052147353287
2	95949009	95950884	cg01906055	BRRN1	415186	-0.398	2.5005	2.3946	3.3930	1000GPgenotype	0.003158300345173
6	28298175	28298511	cg08307580	ZNF193	2786	-0.396	2.4764	2.2747	3.3211	1000GPgenotype	0.003338787477871
17	36681367	36685525	cg24505527	NKIRAS2	739280	-0.462	3.2969	2.9098	4.1268	1000GPgenotype	0.000504743514268
22	22674027	22676887	cg24330042	GSTT1	38815	-0.812	12.7687	2.9917	4.0141	1000GPgenotype	0.000000000000170
3	150751162	150752836	cg24078828	WWTR1	106157	-0.417	2.7244	2.5385	3.4044	1000GPgenotype	0.001886114279731
6	36178098	36178171	cg08027745	SFRS3	491756	0.448	3.1167	2.5521	3.6283	1000GPgenotype	0.000764312333773
8	144777467	144779025	cg22892110	MAPK15	92255	0.401	2.5341	2.4779	3.3173	1000GPgenotype	0.002923206814227
2	152581752	152582186	cg08475827	RIF1	607166	0.457	3.2345	2.9231	3.9247	1000GPgenotype	0.000582824097797
10	72926588	72926707	cg05871136	UNC5B	283689	-0.438	2.9776	2.3829	3.4912	1000GPgenotype	0.001052842835388
20	32705522	32707962	cg15056412	APBA2BP	980623	0.468	3.3846	2.8191	3.8892	1000GPgenotype	0.000412461132489
5	127200230	127201179	cg26465611	MEGF10	546467	-0.446	3.0880	2.8418	3.6243	1000GPgenotype	0.000816543390171
3	128813208	128813533	cg03330058	ABTB1	60997	-0.400	2.5278	2.4880	3.5168	1000GPgenotype	0.002966147310393
16	16841865	16847915	cg15488251	MYH11	986330	-0.390	2.4146	2.2774	3.4217	1000GPgenotype	0.003849842270906
1	9518200	9520253	cg22601917	H6PD	301750	0.447	3.1005	2.5381	3.4998	1000GPgenotype	0.000793493705519
1	21659006	21659277	cg07180649	WNT4	682951	-0.408	2.6201	2.3498	3.5021	1000GPgenotype	0.002398111293227
17	38406928	38407781	cg27088844	EZH1	256982	-0.459	3.2557	2.5407	3.2796	1000GPgenotype	0.000554949572784
8	144783467	144785525	cg22892110	MAPK15	86005	0.401	2.5341	2.4779	3.3173	1000GPgenotype	0.002923206814227
6	31384612	31386630	cg04513728	PPP1R10	692237	0.493	3.7487	3.1728	4.0338	1000GPgenotype	0.000178344334240
16	80721699	80721976	cg01880569	CDH13	496729	0.441	3.0205	2.7128	3.6999	1000GPgenotype	0.000953801607717
11	61806951	61807095	cg12640109	ASRGL1	54591	-0.483	3.5985	2.4828	3.6115	1000GPgenotype	0.000252079808055
3	73145768	73146244	cg20540428	PPP4R2	17370	0.578	5.2387	2.5327	3.4460	1000GPgenotype	0.000005772281175
9	139342340	139344586	cg02189785	CLIC3	332570	-0.441	3.0178	2.8023	4.0291	1000GPgenotype	0.000959753343341
5	36393132	36393322	cg14711201	SKP2	205674	0.435	2.9501	2.6856	3.7892	1000GPgenotype	0.001121634975491
9	36352882	36354079	cg24070292	TPM2	673018	0.560	4.8931	2.6743	3.5466	1000GPgenotype	0.000012790665806
17	76742917	76743255	cg07423906	C17orf56	84213	-0.437	2.9750	2.7189	3.8896	1000GPgenotype	0.001059335505591
7	13244637	13247239	cg09259772	ARL4	552710	-0.444	3.0666	2.6876	3.7067	1000GPgenotype	0.000857745290227
1	21884914	21884999	cg12274479	HSPG2	251649	0.421	2.7760	2.4113	3.4359	1000GPgenotype	0.001674908924718
17	32217537	32217855	cg16544272	PIGW	252497	0.433	2.9207	2.8301	4.0522	1000GPgenotype	0.001200280951063
17	32217537	32217855	cg02102644	AP1GBP1	825808	0.527	4.3011	2.6564	3.9566	1000GPgenotype	0.000049991062152
10	48210395	48214359	cg02222362	PTPN20B	235452	-0.374	2.2333	1.9570	2.9583	1000GPgenotype	0.005843267794372
10	48210395	48214359	cg16192575	PTPN20B	235452	-0.401	2.5337	1.9570	2.9088	1000GPgenotype	0.002926121253592
1	24275573	24275889	cg18231267	RUNX3	825706	-0.446	3.0875	3.0476	4.0565	1000GPgenotype	0.000817429068811
19	2860348	2861542	cg08634464	LOC126295	9271	-0.492	3.7361	2.4417	3.7117	1000GPgenotype	0.000183599632724
22	37838812	37839012	cg01346718	CSNK1E	795704	-0.393	2.4453	2.3895	3.1619	1000GPgenotype	0.003586464237777
14	101459896	101460017	cg14693893	DYNC1H1	40997	0.413	2.6782	2.3253	3.4823	1000GPgenotype	0.002098122913830
21	43794793	43797728	cg15536230	H2BFS	13458	0.426	2.8384	2.4708	3.3513	1000GPgenotype	0.001450678552486
21	43794793	43797728	cg02507175	PKNOX1	528186	-0.387	2.3756	2.2814	3.1336	1000GPgenotype	0.004210722206105
2	172712495	172715726	cg11626791	TLK1	988858	-0.465	3.3464	2.5747	3.5503	1000GPgenotype	0.000450381961976
2	28515170	28515222	cg20369763	FNDC4	943678	0.560	4.8895	2.6336	3.6724	1000GPgenotype	0.000012897274304
17	18731864	18732888	cg12324629	ULK2	978947	0.429	2.8716	2.7168	3.4811	1000GPgenotype	0.001343978842385
7	111715170	111715248	cg05608188	FLJ13576	502332	-0.362	2.1091	2.0667	2.9524	1000GPgenotype	0.007778593434966
1	229386515	229388618	cg00679738	FAM89A	144900	-0.412	2.6586	2.5809	3.6790	1000GPgenotype	0.002194708595015
2	237020254	237020949	cg23095584	GBX2	278607	0.383	2.3318	2.1344	2.8191	1000GPgenotype	0.004658443153778
3	58296329	58296398	cg25240333	RPP14	28934	0.414	2.6821	2.6200	3.6380	1000GPgenotype	0.002079121137323
12	110780865	110781546	cg24530795	FAM109A	489968	0.490	3.7043	2.0160	2.9707	1000GPgenotype	0.000197574400920
12	110780865	110781546	cg17190608	CUTL2	824240	0.404	2.5738	2.2726	3.0946	1000GPgenotype	0.002667891939266
1	29177033	29178830	cg19112780	PTPRU	258565	0.382	2.3189	2.1827	2.8164	1000GPgenotype	0.004798984321903
3	121376674	121377133	cg14399078	ADPRH	595675	0.425	2.8205	2.4888	3.7228	1000GPgenotype	0.001511773950275
17	38587412	38589076	cg08792314	COASY	620071	-0.422	2.7829	2.5948	3.4476	1000GPgenotype	0.001648582113120
17	38587412	38589076	cg10809441	DHX8	328822	-0.447	3.1050	2.5646	3.5259	1000GPgenotype	0.000785209344225
17	38587412	38589076	cg27088844	EZH1	437872	-0.418	2.7316	2.5407	3.2796	1000GPgenotype	0.001855392769697
17	38587412	38589076	cg06975499	EZH1	437872	-0.414	2.6809	2.6078	3.4987	1000GPgenotype	0.002085014173783
7	50075317	50076620	cg00333226	UNQ739	291062	0.420	2.7640	2.4223	3.2301	1000GPgenotype	0.001721885158281
19	18794800	18794869	cg15085805	LSM4	499913	-0.420	2.7618	2.5948	3.5641	1000GPgenotype	0.001730541220906
19	2625195	2625282	cg19636861	ZNF556	193611	0.419	2.7460	2.4744	3.4315	1000GPgenotype	0.001794609283898
22	41428595	41428962	cg08954856	BIK	408055	0.481	3.5699	2.3901	3.1589	1000GPgenotype	0.000269216182101
10	91990412	91992530	cg20571908	MPHOSPH1	540235	0.419	2.7420	2.2969	3.2568	1000GPgenotype	0.001811494354334
10	91988512	91989530	cg20571908	MPHOSPH1	537785	0.393	2.4420	2.2969	3.2568	1000GPgenotype	0.003614475419711
17	54718715	54720484	cg19141563	PPM1E	530966	0.352	2.0141	1.8096	2.2325	1000GPgenotype	0.009681248878029
11	3280127	3282487	cg04720330	PHLDA2	373987	0.422	2.7891	2.6128	3.4567	1000GPgenotype	0.001625256273915
11	481643	481866	cg24194132	B4GALNT4	122099	-0.423	2.7905	2.3675	3.1642	1000GPgenotype	0.001620083428224
1	30813232	30814246	cg03484533	FABP3	805232	-0.395	2.4674	2.2141	3.1131	1000GPgenotype	0.003408819716797
9	140095736	140101839	cg23897067	NDOR1	879055	-0.417	2.7212	2.6819	3.6965	1000GPgenotype	0.001900296958932
7	16138299	16140597	cg12567315	TSPAN13	620743	0.376	2.2536	2.0968	2.9949	1000GPgenotype	0.005576899173273
19	737551	737695	cg18194038	CIRBP	482581	0.501	3.8706	2.3327	3.7111	1000GPgenotype	0.000134700709406
19	737551	737695	cg20147100	C19orf6	234834	0.450	3.1358	2.3260	3.1712	1000GPgenotype	0.000731407843270
21	35182966	35184675	cg18074297	CLIC6	219645	-0.341	2.6155	2.1273	2.8865	ConradGenotype	0.002423699559642
20	56593980	56595020	cg25983380	GNAS	304450	0.287	1.9453	1.9351	2.6851	ConradGenotype	0.011341394008533
2	29495174	29498745	cg04786857	SPDY1	609567	0.306	2.1650	2.1029	2.8099	ConradGenotype	0.006838580554765
9	126987492	126990100	cg03283569	RABEPK	13399	0.325	2.4059	1.8761	2.5371	ConradGenotype	0.003927676801960
2	132896466	132897365	cg07785936	GPR39	6434	0.391	3.3530	2.5203	3.5103	ConradGenotype	0.000443622101226
11	68600310	68601480	cg13608094	CCND1	569460	0.268	1.7359	1.6584	1.8154	ConradGenotype	0.018369698368138
6	31395810	31397416	cg10409680	HLA-C	49182	-0.649	9.7599	2.9631	3.8202	ConradGenotype	0.000000000173819
1	180626201	180628113	cg08596642	DHX9	448115	0.281	1.8804	1.8136	2.2360	ConradGenotype	0.013170482712440
